X,Y,Z,index,lat,long,speed,date,time,air_val,dust,gsr
-6754.86670133584,6717041.68422539,0,"0",51.538136999999999,-0.060680000000000,0.370000000000000,"230324","12554600","16",0.000000000000000,"682"
-6770.67406902849,6717073.0044012,0,"1",51.538311999999998,-0.060822000000000,0.240000000000000,"230324","12560500","51",0.000000000000000,"682"
-6771.00802750086,6717073.54131954,0,"2",51.538314999999997,-0.060825000000000,0.550000000000000,"230324","12560600","50",0.000000000000000,"681"
-6771.78726393642,6717073.54131954,0,"3",51.538314999999997,-0.060832000000000,0.530000000000000,"230324","12560700","51",0.000000000000000,"682"
-6771.23066648245,6717073.54131954,0,"4",51.538314999999997,-0.060827000000000,0.440000000000000,"230324","12560800","51",0.000000000000000,"681"
-6771.34198597324,6717071.75159185,0,"5",51.538305000000001,-0.060828000000000,0.320000000000000,"230324","12560900","51",0.000000000000000,"682"
-6770.22879106531,6717071.39364636,0,"6",51.538302999999999,-0.060818000000000,0.690000000000000,"230324","12561000","51",0.000000000000000,"681"
-6769.89483259293,6717071.21467362,0,"7",51.538302000000002,-0.060815000000000,0.660000000000000,"230324","12561100","51",0.000000000000000,"683"
-6769.67219361135,6717070.85672815,0,"8",51.538300000000000,-0.060813000000000,0.590000000000000,"230324","12561200","51",0.000000000000000,"684"
-6769.56087412055,6717070.4987827,0,"9",51.538297999999998,-0.060812000000000,0.000000000000000,"230324","12561300","50",0.620000000000000,"683"
-6769.11559615738,6717070.31980998,0,"10",51.538297000000000,-0.060808000000000,0.000000000000000,"230324","12561400","51",0.620000000000000,"680"
-6769.00427666659,6717069.42494644,0,"11",51.538291999999998,-0.060807000000000,0.000000000000000,"230324","12561500","50",0.620000000000000,"682"
-6769.00427666659,6717069.42494644,0,"12",51.538291999999998,-0.060807000000000,0.000000000000000,"230324","12561700","51",0.620000000000000,"682"
-6769.00427666659,6717069.42494644,0,"13",51.538291999999998,-0.060807000000000,0.000000000000000,"230324","12561800","50",0.620000000000000,"683"
-6769.00427666659,6717069.42494644,0,"14",51.538291999999998,-0.060807000000000,0.000000000000000,"230324","12561900","50",0.620000000000000,"682"
-6769.00427666659,6717069.42494644,0,"15",51.538291999999998,-0.060807000000000,0.000000000000000,"230324","12562000","50",0.620000000000000,"682"
-6766.88920634151,6717072.28851012,0,"16",51.538308000000001,-0.060788000000000,1.280000000000000,"230324","12562100","50",0.620000000000000,"683"
-6765.99865041517,6717073.54131954,0,"17",51.538314999999997,-0.060780000000000,4.480000000000001,"230324","12562200","51",0.620000000000000,"682"
-6765.66469194279,6717074.79412916,0,"18",51.538322000000001,-0.060777000000000,0.000000000000000,"230324","12562300","51",0.620000000000000,"683"
-6765.10809448882,6717074.43618354,0,"19",51.538319999999999,-0.060772000000000,0.000000000000000,"230324","12562400","51",0.620000000000000,"682"
-6766.22128939675,6717075.6889933,0,"20",51.538327000000002,-0.060782000000000,0.000000000000000,"230324","12562500","50",0.620000000000000,"682"
-6765.66469194279,6717076.22591182,0,"21",51.538330000000002,-0.060777000000000,1.880000000000000,"230324","12562600","50",0.620000000000000,"683"
-6765.21941397961,6717077.12077611,0,"22",51.538334999999996,-0.060773000000000,1.900000000000000,"230324","12562700","51",0.620000000000000,"683"
-6765.10809448882,6717077.65769473,0,"23",51.538338000000003,-0.060772000000000,1.120000000000000,"230324","12562800","51",0.620000000000000,"682"
-6773.01177833514,6717084.63764002,0,"24",51.538376999999997,-0.060843000000000,1.120000000000000,"230324","12563000","51",0.620000000000000,"682"
-6776.79664102212,6717088.39607458,0,"25",51.538398000000001,-0.060877000000000,7.100000000000000,"230324","12563100","51",0.620000000000000,"683"
-6777.90983593005,6717091.79656449,0,"26",51.538417000000003,-0.060887000000000,7.100000000000000,"230324","12563200","51",0.620000000000000,"682"
-6779.91358676433,6717095.37602908,0,"27",51.538437000000002,-0.060905000000000,7.100000000000000,"230324","12563300","50",0.620000000000000,"682"
-6783.25317148813,6717098.06062855,0,"28",51.538451999999999,-0.060935000000000,6.020000000000000,"230324","12563400","50",0.620000000000000,"683"
