id,left,top,right,bottom,calc_mean
"1",-14114.9232875059,6716498.54166601,-13941.718206749,6716348.54166601,0.00255288726852339
"2",-14114.9232875059,6716348.54166601,-13941.718206749,6716198.54166601,0.0108403366321553
"3",-14114.9232875059,6716198.54166601,-13941.718206749,6716048.54166601,0.0218952906929762
"4",-14114.9232875059,6716048.54166601,-13941.718206749,6715898.54166601,0.00989749120780333
"5",-14114.9232875059,6715898.54166601,-13941.718206749,6715748.54166601,0.0261537421935644
"6",-14114.9232875059,6715748.54166601,-13941.718206749,6715598.54166601,0.0120107797445697
"7",-14114.9232875059,6715598.54166601,-13941.718206749,6715448.54166601,0.00848271316493781
"8",-14114.9232875059,6715448.54166601,-13941.718206749,6715298.54166601,0.0032141003369625
"9",-14114.9232875059,6715298.54166601,-13941.718206749,6715148.54166601,0.00325072117676813
"10",-14114.9232875059,6715148.54166601,-13941.718206749,6714998.54166601,0.00476449276752242
"11",-14114.9232875059,6714998.54166601,-13941.718206749,6714848.54166601,0.00425076787658841
"12",-14114.9232875059,6714848.54166601,-13941.718206749,6714698.54166601,0.00211536222318884
"13",-14114.9232875059,6714698.54166601,-13941.718206749,6714548.54166601,0.00300642610604352
"14",-14114.9232875059,6714548.54166601,-13941.718206749,6714398.54166601,0.00545727780973318
"15",-13985.0194769382,6716423.54166601,-13811.8143961814,6716273.54166601,0.0126541034217745
"16",-13985.0194769382,6716273.54166601,-13811.8143961814,6716123.54166601,0.0146404997068916
"17",-13985.0194769382,6716123.54166601,-13811.8143961814,6715973.54166601,0.018443490302355
"18",-13985.0194769382,6715973.54166601,-13811.8143961814,6715823.54166601,0.0122192153105531
"19",-13985.0194769382,6715823.54166601,-13811.8143961814,6715673.54166601,0.017365905468053
"20",-13985.0194769382,6715673.54166601,-13811.8143961814,6715523.54166601,0.0163173057060108
"21",-13985.0194769382,6715523.54166601,-13811.8143961814,6715373.54166601,0.0101547135236509
"22",-13985.0194769382,6715373.54166601,-13811.8143961814,6715223.54166601,0.00546436441222628
"23",-13985.0194769382,6715223.54166601,-13811.8143961814,6715073.54166601,0.00324369918386345
"24",-13985.0194769382,6715073.54166601,-13811.8143961814,6714923.54166601,0.00464717517109825
"25",-13985.0194769382,6714923.54166601,-13811.8143961814,6714773.54166601,0.00370282724676536
"26",-13985.0194769382,6714773.54166601,-13811.8143961814,6714623.54166601,0.00447492443972614
"27",-13985.0194769382,6714623.54166601,-13811.8143961814,6714473.54166601,0.00705681411789403
"28",-13985.0194769382,6714473.54166601,-13811.8143961814,6714323.54166601,0.00185671313786297
"29",-13855.1156663706,6716498.54166601,-13681.9105856137,6716348.54166601,0.00695557265727052
"30",-13855.1156663706,6716348.54166601,-13681.9105856137,6716198.54166601,0.010103798262159
"31",-13855.1156663706,6716198.54166601,-13681.9105856137,6716048.54166601,0.0129296938143097
"32",-13855.1156663706,6716048.54166601,-13681.9105856137,6715898.54166601,0.014654362759048
"33",-13855.1156663706,6715898.54166601,-13681.9105856137,6715748.54166601,0.0156541761553207
